payment_id,payment_reference,loan_id,emi_number,payment_date,emi_amount,principal_paid,interest_paid,late_fee,payment_method,payment_status,remaining_balance
1,BKAIPAY23756669,1,1,2025-09-24,6875.81,5079.69,1796.12,0,NEFT,Paid,125560.7
2,BKAIPAY66629388,1,2,2025-10-24,6875.81,3967.03,2908.78,0,Auto Debit,Paid,121593.67
3,BKAIPAY90801586,1,3,2025-11-23,6875.81,5339.59,1536.22,0,Auto Debit,Paid,116254.08
4,BKAIPAY83140807,1,4,2025-12-23,6875.81,5158.86,1716.95,0,UPI,Paid,111095.22
5,BKAIPAY10872248,1,5,2026-01-22,6875.81,4728.48,2147.33,0,IMPS,Paid,106366.74
6,BKAIPAY47295260,1,6,2026-02-21,6875.81,5226.2,1649.61,0,Auto Debit,Paid,101140.54
7,BKAIPAY22448136,1,7,2026-03-23,6875.81,3855.24,3020.57,0,Auto Debit,Paid,97285.3
8,BKAIPAY45503389,1,8,2026-04-22,6875.81,4883.58,1992.23,0,IMPS,Paid,92401.72
9,BKAIPAY60806024,1,9,2026-05-22,6875.81,4246.27,2629.54,0,Auto Debit,Paid,88155.45
10,BKAIPAY58537831,1,10,2026-06-21,6875.81,4996.69,1879.12,0,UPI,Paid,83158.76
11,BKAIPAY40587988,1,11,2026-07-21,6875.81,4289.52,2586.29,0,IMPS,Paid,78869.24
12,BKAIPAY23556182,1,12,2026-08-20,6875.81,3807.1,3068.71,0,Auto Debit,Paid,75062.14
13,BKAIPAY31831063,1,13,2026-09-19,6875.81,4721.26,2154.55,0,Auto Debit,Paid,70340.88
14,BKAIPAY96977837,1,14,2026-10-19,6875.81,5140.52,1735.29,0,Auto Debit,Paid,65200.36
15,BKAIPAY42857966,1,15,2026-11-18,6875.81,4409.15,2466.66,0,Auto Debit,Paid,60791.21
16,BKAIPAY39476249,1,16,2026-12-18,6875.81,4848.38,2027.43,2781,NEFT,Missed,55942.83
17,BKAIPAY40742311,1,17,2027-01-17,6875.81,4051.83,2823.98,0,IMPS,Paid,51891.0
18,BKAIPAY18883684,1,18,2027-02-16,6875.81,4116.81,2759.0,0,Auto Debit,Paid,47774.19
19,BKAIPAY52235350,1,19,2027-03-18,6875.81,3879.83,2995.98,0,Auto Debit,Paid,43894.36
20,BKAIPAY43101783,2,1,2024-09-12,34672.39,23760.54,10911.85,0,NEFT,Paid,1467152.23
21,BKAIPAY67503414,2,2,2024-10-12,34672.39,23066.0,11606.39,0,Cash,Paid,1444086.23
22,BKAIPAY28566572,2,3,2024-11-11,34672.39,24275.87,10396.52,0,UPI,Paid,1419810.36
23,BKAIPAY24716857,2,4,2024-12-11,34672.39,26949.9,7722.49,0,Auto Debit,Paid,1392860.46
24,BKAIPAY90048665,2,5,2025-01-10,34672.39,26351.17,8321.22,0,Auto Debit,Paid,1366509.29
25,BKAIPAY43744231,2,6,2025-02-09,34672.39,24430.0,10242.39,2667,Cheque,Missed,1342079.29
26,BKAIPAY25374874,2,7,2025-03-11,34672.39,20276.59,14395.8,0,NEFT,Paid,1321802.7
27,BKAIPAY96028436,2,8,2025-04-10,34672.39,23083.4,11588.99,0,Auto Debit,Paid,1298719.3
