loan_id,loan_number,customer_id,account_id,loan_type_id,branch_id,loan_amount,interest_rate,tenure_months,emi_amount,outstanding_balance,disbursement_date,maturity_date,loan_status,collateral_value,credit_score,purpose,risk_category
1,BKAILN22575562,3583,7624,11,65,2936214,9.95,71,54882.11,523365.32,2019-05-22,2025-03-21,Active,4097032.33,330,Medical,High
2,BKAILN66722344,5575,9106,12,20,3884120,14.4,23,194255.04,3040980.98,2025-06-06,2027-04-27,Active,0.0,463,Working Capital,High
3,BKAILN20576383,9045,9607,2,81,4532211,11.2,24,211657.64,962385.76,2019-06-28,2021-06-17,Active,0.0,687,Working Capital,Medium
4,BKAILN31831063,6066,11642,10,27,7427563,7.58,20,396500.83,3283826.64,2024-05-15,2026-01-05,Active,10527732.81,673,Business Expansion,Medium
5,BKAILN17507864,3753,1052,10,41,1013406,8.9,80,16840.66,728989.31,2018-04-29,2024-11-23,Active,1270538.13,632,Business Expansion,High
6,BKAILN28740864,4041,18395,4,69,9187856,12.15,169,113756.09,4713063.87,2018-04-17,2032-03-04,Active,0.0,571,Agriculture,High
7,BKAILN90048665,1041,12609,10,49,5762604,8.2,40,165138.45,3830411.16,2023-10-15,2027-01-27,Active,9533972.2,732,Personal Expenses,Medium
8,BKAILN10435578,4316,16404,9,98,2480465,10.63,47,64752.48,497077.64,2021-09-08,2025-07-19,Active,3483405.49,764,Business Expansion,Low
9,BKAILN90388981,5311,16011,11,3,2834294,10.69,64,58295.15,2715678.15,2019-06-15,2024-09-16,Active,4947837.97,300,Working Capital,High
10,BKAILN83793389,2706,8686,5,68,14644774,8.72,13,1184653.11,11558402.32,2019-07-13,2020-08-06,Active,17425436.19,786,Agriculture,Low
11,BKAILN18593410,5540,690,4,76,8132479,12.22,75,155586.53,1698905.57,2020-06-09,2026-08-07,Active,0.0,530,Medical,High
12,BKAILN27758595,9356,18882,1,61,80866,8.41,281,659.39,28354.01,2022-11-01,2045-11-30,Active,116430.07,852,Personal Expenses,Low
13,BKAILN18135295,6597,11119,7,14,1403980,10.55,36,45665.89,208847.74,2017-04-29,2020-04-13,Active,0.0,400,Medical,High
14,BKAILN11980765,1529,7746,9,22,1084152,11.52,39,33458.35,203948.35,2019-05-01,2022-07-14,Active,1687484.13,853,Personal Expenses,Low
15,BKAILN84593961,7974,5073,4,25,8275096,11.96,39,257126.81,4216223.73,2016-09-12,2019-11-26,Active,0.0,733,Home Purchase,Medium
16,BKAILN34941004,1123,19499,10,9,1157677,9.21,19,65714.0,279798.32,2019-07-19,2021-02-08,Active,2052034.85,382,Medical,High
17,BKAILN44999379,3347,10296,7,31,1714082,10.16,157,19776.1,1043368.97,2018-12-16,2031-11-08,Active,0.0,623,Education,High
18,BKAILN56843172,1128,8005,11,48,47781864,12.08,53,1167756.62,27898442.98,2024-09-05,2029-01-12,Active,69480529.96,435,Personal Expenses,High
19,BKAILN25492573,1754,18129,9,20,1871488,12.67,51,47646.97,361623.61,2018-01-23,2022-04-02,Active,3209019.65,570,Medical,High
20,BKAILN47135391,723,117,12,43,9098103,12.56,27,388568.59,1665577.17,2024-12-06,2027-02-24,Active,0.0,733,Vehicle Purchase,Medium
21,BKAILN88183110,9053,4853,3,56,419972,11.16,59,9280.97,383659.42,2017-10-02,2022-08-07,Active,622362.05,678,Vehicle Purchase,Medium
22,BKAILN93303777,2533,7758,6,21,1250381,17.29,113,22480.2,1119992.81,2019-03-23,2028-07-03,Default,0.0,716,Education,Medium
23,BKAILN73174945,3645,6540,7,59,460195,9.64,97,6848.5,90790.06,2017-08-21,2025-08-09,Active,0.0,339,Medical,High
24,BKAILN54446182,453,3780,4,34,1188416,8.59,73,20958.89,546327.37,2019-10-16,2025-10-14,Active,0.0,849,Vehicle Purchase,Low
25,BKAILN10226999,8519,17644,1,88,1157830,8.49,231,10191.28,313854.02,2019-01-14,2038-01-04,Active,1309587.44,746,Medical,Medium
26,BKAILN49682169,9084,4171,6,25,1806852,14.02,97,31232.35,844800.19,2018-01-09,2025-12-28,Active,0.0,712,Agriculture,Medium
27,BKAILN91424737,5280,15237,11,57,3262276,12.49,35,111692.77,1168620.16,2022-02-04,2024-12-20,Active,4570193.26,893,Medical,Low
28,BKAILN51663795,3681,6526,9,19,2355659,11.63,59,52611.56,946196.21,2018-07-23,2023-05-28,Active,3940773.52,540,Medical,High
29,BKAILN24305904,6966,7171,8,23,4641428,11.14,78,83891.1,2529297.23,2021-03-13,2027-08-09,Active,5898276.15,305,Personal Expenses,High
30,BKAILN92228802,8271,13984,1,71,3914540,9.5,354,33014.96,2489283.73,2019-03-27,2048-04-23,Active,6909271.63,753,Education,Low
31,BKAILN48349783,3842,8904,12,43,1018500,15.67,20,58194.0,353559.75,2022-10-27,2024-06-18,Active,0.0,379,Business Expansion,High
32,BKAILN66390708,6382,19140,3,90,820456,9.24,48,20510.71,482715.31,2021-10-16,2025-09-25,Active,1141288.73,511,Agriculture,High
33,BKAILN13895645,6372,11015,8,86,3757503,9.02,150,41855.84,2026821.65,2023-01-11,2035-05-08,Active,4851141.98,797,Agriculture,Low
34,BKAILN28213276,7565,5955,12,7,1804968,11.49,20,99595.39,224523.29,2018-01-25,2019-09-17,Active,0.0,738,Working Capital,Medium
35,BKAILN16990811,5734,7348,4,84,3167093,10.32,110,44640.92,371959.11,2020-03-24,2029-04-06,Active,0.0,852,Home Purchase,Low
